what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1344239969785
started,bundle,org.eclipse.emf.common,2.8.0.v20120606-0717,"org.eclipse.emf.common",1344239969785
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120608-0554,"org.eclipse.emf.common.ui",1344239969785
started,bundle,org.eclipse.emf.ecore,2.8.0.v20120606-0717,"org.eclipse.emf.ecore",1344239969785
started,bundle,org.eclipse.emf.ecore.xmi,2.8.0.v20120606-0717,"org.eclipse.emf.ecore.xmi",1344239969785
started,bundle,org.eclipse.emf.edit,2.8.0.v20120608-0554,"org.eclipse.emf.edit",1344239969785
started,bundle,org.eclipse.emf.edit.ui,2.8.0.v20120608-0554,"org.eclipse.emf.edit.ui",1344239969785
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1344239969785
os,sysinfo,,,"win32",1344239969786
arch,sysinfo,,,"x86",1344239969786
ws,sysinfo,,,"win32",1344239969786
locale,sysinfo,,,"de_CH",1344239969786
processors,sysinfo,,,"4",1344239969786
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344239969786
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1344239969787
java.specification.name,sysinfo,,,"Java Platform API Specification",1344239969787
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344239969787
java.specification.version,sysinfo,,,"1.6",1344239969787
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1344239969787
java.version,sysinfo,,,"1.6.0_33",1344239969787
java.vm.info,sysinfo,,,"mixed mode",1344239969787
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1344239969787
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344239969787
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344239969787
java.vm.specification.version,sysinfo,,,"1.0",1344239969787
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1344239969787
java.vm.version,sysinfo,,,"20.8-b03",1344239969787
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1344239969825
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1344239969838
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20120504-2054-H105-Beta3,"org.jboss.ide.eclipse.as.core",1344239969844
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1344239969866
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20120504-2054-H105-Beta3,"org.jboss.ide.eclipse.as.ui",1344239969874
started,bundle,org.jboss.tools.usage,1.1.0.v20120504-2022-H52-Beta3,"org.jboss.tools.usage",1344239969879
started,bundle,com.windowtester.eclipse.ui.update.notifier,6.0.0.r37x201108222343,"com.windowtester.eclipse.ui.update.notifier",1344239969881
started,bundle,com.windowtester.swing.recorder,6.0.0.r37x201108222343,"com.windowtester.swing.recorder",1344239969889
started,bundle,com.windowtester.swt.recorder,6.0.0.r37x201108222343,"com.windowtester.swt.recorder",1344239969891
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1344239973879
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201108161900,"org.eclipse.jst.common.project.facet.core",1344239973880
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344239983711
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344239983727
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1344239983758
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.TaskList.",1344239986822
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1344239987053
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1344239987056
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1344239987058
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344239987294
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1344239987344
started,bundle,com.cloudbees.eclipse.core,1.0.5.201206291227,"com.cloudbees.eclipse.core",1344239987677
started,bundle,com.cloudbees.eclipse.ui,1.0.5.201206291227,"com.cloudbees.eclipse.ui",1344239987679
started,bundle,com.cloudbees.eclipse.dev.core,1.0.5.201206291227,"com.cloudbees.eclipse.dev.core",1344239987693
started,bundle,com.cloudbees.eclipse.dev.ui,1.0.5.201206291227,"com.cloudbees.eclipse.dev.ui",1344239987694
started,bundle,com.cloudbees.eclipse.run.ui,1.0.5.201206291227,"com.cloudbees.eclipse.run.ui",1344239987706
started,bundle,com.cloudbees.eclipse.run.core,1.0.5.201206291227,"com.cloudbees.eclipse.run.core",1344239987714
started,bundle,com.cloudbees.eclipse.run.sdk,0.6.0.201206291227,"com.cloudbees.eclipse.run.sdk",1344239989295
opened,view,com.cloudbees.eclipse.ui,1.0.5.201206291227,"com.cloudbees.eclipse.ui.views.CBTreeView",1344239989314
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1344239989513
started,bundle,org.eclipselabs.tapiji.tools.core,0.0.2.201111162229,"org.eclipselabs.tapiji.tools.core",1344239989529
opened,view,org.eclipselabs.tapiji.tools.core,0.0.2.201111162229,"org.eclipselabs.tapiji.tools.core.views.MessagesView",1344239989557
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1344239989589
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1344239989593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1344239989646
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1344239989646
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1344239990906
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1344239990911
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344239992454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344239994795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344240006979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1344240006979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1344240006979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344240008573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344240010229
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344240010322
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1344240010492
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1344240010497
stopped,bundle,com.instantiations.assist.eclipse.coverage.ui,7.0.0.r36x201009131451,"com.instantiations.assist.eclipse.coverage.ui",1344240010671
stopped,bundle,com.instantiations.assist.eclipse.coverage,7.0.0.r36x201009131451,"com.instantiations.assist.eclipse.coverage",1344240010671
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1344240010672
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1344240010674
